Iteración,Fitness
1,60233.21680023788
2,46393.4399123749
3,27915.62965255171
4,13819.90846715527
5,5458.715447892108
6,2741.764419251169
7,1372.3451828778748
8,1290.8391116694993
9,1054.671996636472
10,1047.3105189936005
11,1047.3105189936005
12,920.2396174194165
13,898.4128767042827
14,751.8822331954436
15,716.3535459934479
16,620.1776443640373
17,500.01208979670946
18,500.01208979670946
19,442.90350826484706
20,366.325463936232
21,331.42758486413913
22,286.81781924314237
23,270.26656106562757
24,213.71047285611348
25,185.7497885377679
26,166.58202022237734
27,157.73489549458262
28,119.97631080216233
29,116.26292933718149
30,64.84146440835625
31,64.84146440835625
32,64.3286383566714
33,44.92033134893985
34,44.29791885238349
35,44.29791885238349
36,38.898462470043434
37,36.23789635363786
38,26.812967876745994
39,24.135182593967173
40,19.640845478650828
41,19.640845478650828
42,13.448998820727752
43,13.448998820727752
44,11.328147527891987
45,10.07360334477373
46,8.633548702635286
47,8.633548702635286
48,6.9090212391343835
49,6.9090212391343835
50,6.2701979315731355
51,5.864885100185199
52,3.5203746347242872
53,3.5203746347242872
54,3.1685870380083525
55,3.1685870380083525
56,2.346148949435805
57,2.346148949435805
58,1.7592395445116744
59,1.7592395445116744
60,1.4157995787495614
61,1.4157995787495614
62,1.1217832380807269
63,1.1217832380807269
64,0.892582233152924
65,0.892582233152924
66,0.868996353951965
67,0.868996353951965
68,0.7335115088809484
69,0.7335115088809484
70,0.7335115088809484
71,0.7335115088809484
72,0.4940827713599547
73,0.4940827713599547
74,0.4717098706736492
75,0.4717098706736492
76,0.4004013060369495
77,0.4004013060369495
78,0.369401739275656
79,0.369401739275656
80,0.3114907068769614
81,0.3114907068769614
82,0.23525969698234667
83,0.23525969698234667
84,0.18816289361121802
85,0.18816289361121802
86,0.16233337824246627
87,0.16233337824246627
88,0.1263210610605156
89,0.1263210610605156
90,0.11768438443918702
91,0.11768438443918702
92,0.09648713238544186
93,0.09648713238544186
94,0.08716292882792066
95,0.08716292882792066
96,0.06958466829244413
97,0.06958466829244413
98,0.06803052363490752
99,0.06803052363490752
100,0.052158237495522466
101,0.052158237495522466
102,0.0429124971712461
103,0.0429124971712461
104,0.0429124971712461
105,0.0429124971712461
106,0.0429124971712461
107,0.0429124971712461
108,0.03651969456497964
109,0.03651969456497964
110,0.0313466872788711
111,0.02864290351215467
112,0.02864290351215467
113,0.02864290351215467
114,0.02864290351215467
115,0.028573014215627624
116,0.01841383239539016
117,0.01841383239539016
118,0.015165733103067654
119,0.015165733103067654
120,0.014156834737258164
121,0.013355423678725649
122,0.010747756081732084
123,0.010747756081732084
124,0.008719426148927727
125,0.008719426148927727
126,0.006142503102866115
127,0.006142503102866115
128,0.0047675418274091465
129,0.0047675418274091465
130,0.004252238271218626
131,0.004252238271218626
132,0.0034523800687433913
133,0.0034523800687433913
134,0.002597036851159466
135,0.002597036851159466
136,0.002597036851159466
137,0.002597036851159466
138,0.002597036851159466
139,0.002559864372955378
140,0.002108748030492789
141,0.002108748030492789
142,0.002108748030492789
143,0.002108748030492789
144,0.0018245124333342798
145,0.0018245124333342798
146,0.0018157205852012582
147,0.0018157205852012582
148,0.0015073502616037284
149,0.0015073502616037284
150,0.00115819058420909
151,0.00115819058420909
152,0.0009530590308400731
153,0.0009530590308400731
154,0.0005984513436375058
155,0.0005984513436375058
156,0.0004549856699111106
157,0.0004549856699111106
158,0.0004366524944185137
159,0.0004366524944185137
160,0.00031491226858179746
161,0.00031491226858179746
162,0.00020487753409628538
163,0.00020487753409628538
164,0.000198830124590533
165,0.000198830124590533
166,0.00015781434141924432
167,0.00015781434141924432
168,0.00015781434141924432
169,0.00015781434141924432
170,8.960190144961165e-05
171,8.960190144961165e-05
172,8.960190144961165e-05
173,8.960190144961165e-05
174,8.360226286065356e-05
175,8.360226286065356e-05
176,6.210109597541317e-05
177,6.210109597541317e-05
178,6.210109597541317e-05
179,5.799130437484073e-05
180,5.799130437484073e-05
181,5.799130437484073e-05
182,5.447837415265172e-05
183,5.447837415265172e-05
184,3.76432245512522e-05
185,3.76432245512522e-05
186,1.9715110043376064e-05
187,1.9715110043376064e-05
188,1.9715110043376064e-05
189,1.9715110043376064e-05
190,1.729629854656631e-05
191,1.729629854656631e-05
192,1.525726137135419e-05
193,1.525726137135419e-05
194,1.4653119905583689e-05
195,1.4653119905583689e-05
196,1.1907347343878841e-05
197,1.1907347343878841e-05
198,1.037499460440167e-05
199,9.492002215552697e-06
200,9.492002215552697e-06
201,9.492002215552697e-06
202,9.064281689511704e-06
203,9.064281689511704e-06
204,7.202840680779863e-06
205,7.202840680779863e-06
206,6.744271544203943e-06
207,6.744271544203943e-06
208,6.274185937372342e-06
209,6.274185937372342e-06
210,4.420434852951431e-06
211,4.420434852951431e-06
212,4.420434852951431e-06
213,4.420434852951431e-06
214,3.4856094964864026e-06
215,3.4238673908531977e-06
216,3.4238673908531977e-06
217,2.401517003213875e-06
218,2.2178484257966357e-06
219,2.2178484257966357e-06
220,1.876658513909721e-06
221,1.4699544131187672e-06
222,1.4699544131187672e-06
223,1.0633251491133446e-06
224,1.0633251491133446e-06
225,1.0633251491133446e-06
226,1.0633251491133446e-06
227,8.4479372415434e-07
228,8.4479372415434e-07
229,8.4479372415434e-07
230,8.4479372415434e-07
231,7.355196058700682e-07
232,5.206928013018144e-07
233,5.206928013018144e-07
234,5.206928013018144e-07
235,5.206928013018144e-07
236,5.206928013018144e-07
237,4.1062421825868673e-07
238,4.1062421825868673e-07
239,4.1062421825868673e-07
240,4.1062421825868673e-07
241,3.577807420415471e-07
242,3.577807420415471e-07
243,3.577807420415471e-07
