Iteración,Fitness
1,69496.56555418902
2,53984.47781887143
3,34588.80534167831
4,20399.703117363475
5,8647.602543145113
6,3004.793968434856
7,1788.2205692751475
8,1788.2205692751475
9,1248.602158940834
10,1202.1465615174557
11,1009.0803056567973
12,834.8781361665945
13,753.8191236321021
14,645.3703372711717
15,611.4106645328751
16,524.7666738870789
17,511.54493058696994
18,432.1467604215636
19,398.6163798390265
20,352.92358299525205
21,315.93006375037317
22,264.45900356787246
23,253.67431853843652
24,189.9590536509867
25,177.60556397429843
26,145.07695275370398
27,137.47998275452542
28,113.16314184555071
29,111.69346623020589
30,90.41097548020139
31,78.86249155633676
32,63.99563002212676
33,63.99563002212676
34,51.92960582125409
35,51.92960582125409
36,35.34248991923211
37,35.34248991923211
38,26.117067052841225
39,26.117067052841225
40,21.109091133371578
41,20.69498178310653
42,14.09418487485414
43,14.09418487485414
44,9.13622199216832
45,9.13622199216832
46,6.559901609895973
47,6.559901609895973
48,5.047111641527562
49,5.047111641527562
50,4.278245331739791
51,4.278245331739791
52,3.1428165037384046
53,3.1428165037384046
54,2.5477915448228616
55,2.5477915448228616
56,2.2963540479938516
57,2.2963540479938516
58,1.4903985648147684
59,1.4903985648147684
60,1.4903985648147684
61,1.4903985648147684
62,1.1138918868538503
63,1.1138918868538503
64,1.1138918868538503
65,0.7238772942786702
66,0.7238772942786702
67,0.7238772942786702
68,0.5004133750853259
69,0.5004133750853259
70,0.5004133750853259
71,0.5004133750853259
72,0.4306764919042717
73,0.4306764919042717
74,0.3771498481626546
75,0.3771498481626546
76,0.3592630471687461
77,0.29391518778949477
78,0.24049331196042867
79,0.24049331196042867
80,0.24049331196042867
81,0.24049331196042867
82,0.17739923063076535
83,0.17739923063076535
84,0.11769747297748091
85,0.11769747297748091
86,0.11267067151646482
87,0.11267067151646482
88,0.10742119225680273
89,0.09700170681163327
90,0.08885282375022595
91,0.08885282375022595
92,0.07639457796469264
93,0.07639457796469264
94,0.05832451283010822
95,0.05832451283010822
96,0.04884914353894628
97,0.04884914353894628
98,0.04884914353894628
99,0.04884914353894628
100,0.03811569364531859
101,0.03811569364531859
102,0.03262691950149442
103,0.03262691950149442
104,0.03262691950149442
105,0.03262691950149442
106,0.01613944227040446
107,0.01613944227040446
108,0.01613944227040446
109,0.01613944227040446
110,0.013482452925774848
111,0.013482452925774848
112,0.013482452925774848
113,0.013482452925774848
114,0.013482452925774848
115,0.013482452925774848
116,0.013482452925774848
117,0.013482452925774848
118,0.010677259762131068
119,0.010668691949431082
120,0.008150284675630217
121,0.008150284675630217
122,0.007895925872873652
123,0.007895925872873652
124,0.00758231369856096
125,0.00758231369856096
126,0.006206529539958532
127,0.006206529539958532
128,0.005554821432908552
129,0.005554821432908552
130,0.004747782898496496
131,0.004747782898496496
132,0.002978937503048195
133,0.002978937503048195
134,0.002077075787080183
135,0.002077075787080183
136,0.002077075787080183
137,0.002077075787080183
138,0.001029661669789653
139,0.001029661669789653
140,0.001029661669789653
141,0.001029661669789653
142,0.0008570665051930343
143,0.0008570665051930343
144,0.0007223843975974829
145,0.0007223843975974829
146,0.0007223843975974829
147,0.0007223843975974829
148,0.0007223843975974829
149,0.0007222674147009392
150,0.0005383245134285068
151,0.0005383245134285068
152,0.00037851358397246595
153,0.00037851358397246595
154,0.00029782493636753323
155,0.00029782493636753323
156,0.0002634943412396232
157,0.0002634943412396232
158,0.00019912215939279918
159,0.00019912215939279918
160,0.00018092646054521666
161,0.00018092646054521666
162,0.00018092646054521666
163,0.00018092646054521666
164,0.00018092646054521666
165,0.00018092646054521666
166,0.00018092646054521666
167,0.00015946976232604276
168,0.00012548976876988537
169,0.00012548976876988537
170,0.00012548976876988537
171,0.00010463119756092085
172,0.00010463119756092085
173,0.00010463119756092085
174,7.604556719213459e-05
175,7.604556719213459e-05
176,7.604556719213459e-05
177,7.604556719213459e-05
178,6.898868621892852e-05
179,6.898868621892852e-05
180,5.835163035486358e-05
181,5.835163035486358e-05
182,4.2879527965921843e-05
183,4.2879527965921843e-05
184,4.112396078489624e-05
185,3.728459354302315e-05
186,3.0632179975046396e-05
187,3.0632179975046396e-05
188,2.227409586203222e-05
189,2.227409586203222e-05
190,2.227409586203222e-05
191,2.038175439190938e-05
192,1.3324798247776576e-05
193,1.3324798247776576e-05
194,1.3324798247776576e-05
195,1.3324798247776576e-05
196,1.1656260604507187e-05
197,1.1656260604507187e-05
198,1.1656260604507187e-05
199,1.1656260604507187e-05
200,7.590082027854561e-06
201,7.590082027854561e-06
202,7.590082027854561e-06
203,7.590082027854561e-06
204,4.677746556642754e-06
205,4.677746556642754e-06
206,4.677746556642754e-06
207,4.677746556642754e-06
208,3.6817371766641297e-06
209,3.6817371766641297e-06
210,3.6817371766641297e-06
211,3.6817371766641297e-06
212,3.14941582639568e-06
213,3.14941582639568e-06
214,2.7444663310606417e-06
215,2.7444663310606417e-06
216,2.3598685437793385e-06
217,2.3598685437793385e-06
218,1.8801566287055067e-06
219,1.8801566287055067e-06
220,1.7169218594784368e-06
221,1.7087978405806456e-06
222,7.872367593396581e-07
223,7.872367593396581e-07
224,7.872367593396581e-07
225,7.872367593396581e-07
226,7.872367593396581e-07
227,7.632954479361813e-07
228,7.632954479361813e-07
229,7.632954479361813e-07
230,6.238733494083959e-07
231,6.238733494083959e-07
232,6.238733494083959e-07
233,6.238733494083959e-07
234,4.588807622525382e-07
235,4.588807622525382e-07
236,3.6369052082749706e-07
237,3.6369052082749706e-07
238,3.6369052082749706e-07
239,3.5603917746014285e-07
240,3.333424278099239e-07
241,3.333424278099239e-07
242,2.2919715283986864e-07
243,2.2919715283986864e-07
244,2.1458034500377402e-07
245,2.1458034500377402e-07
246,2.1458034500377402e-07
247,2.1249782326962903e-07
248,1.962591735261797e-07
249,1.919562305877839e-07
250,1.3224684721474967e-07
251,1.3224684721474967e-07
252,1.0050837139435858e-07
253,1.0050837139435858e-07
254,7.895587046055032e-08
255,7.895587046055032e-08
256,7.895587046055032e-08
257,7.895587046055032e-08
258,7.298536623689062e-08
259,7.298536623689062e-08
260,6.590904297842433e-08
261,6.590904297842433e-08
262,6.590904297842433e-08
263,5.523753312158257e-08
264,5.523753312158257e-08
265,5.031683852566369e-08
266,5.031683852566369e-08
267,3.8587719273926975e-08
268,3.8587719273926975e-08
269,2.7833113747494094e-08
270,2.527927643729545e-08
271,2.4427235631159516e-08
272,2.4427235631159516e-08
273,1.6236643915531943e-08
274,1.6236643915531943e-08
275,1.525461217620004e-08
276,1.525461217620004e-08
277,1.525461217620004e-08
278,1.525461217620004e-08
279,9.843173314992155e-09
280,9.843173314992155e-09
281,9.843173314992155e-09
282,9.843173314992155e-09
283,9.843173314992155e-09
284,9.843173314992155e-09
285,6.712945819439365e-09
286,6.712945819439365e-09
287,5.2242907085378665e-09
288,5.2242907085378665e-09
289,4.505581966958021e-09
290,4.505581966958021e-09
291,4.235263497416261e-09
292,4.235263497416261e-09
293,4.235263497416261e-09
294,4.235263497416261e-09
295,3.2344046093940757e-09
296,3.2344046093940757e-09
297,2.8028340132251774e-09
298,2.8028340132251774e-09
299,1.9730424460351033e-09
300,1.9730424460351033e-09
301,1.2889783796927163e-09
302,1.2889783796927163e-09
303,1.2889783796927163e-09
304,1.2889783796927163e-09
305,1.2889783796927163e-09
306,8.80865535387e-10
307,8.80865535387e-10
308,8.80865535387e-10
309,8.635525296559712e-10
310,6.379440479366474e-10
311,6.379440479366474e-10
