Iteración,Mejor Fitness,Fitness Promedio
1,67437.84289350625,0.0
2,52131.45841025374,0.0
3,33524.90761238746,0.0
4,18405.16590623277,0.0
5,7472.6690979348505,0.0
6,2095.2608068052314,0.0
7,1715.821740791998,0.0
8,1671.9680158207634,0.0
9,1391.5766248440923,0.0
10,1293.8960116699843,0.0
11,1118.056544294231,0.0
12,990.1794790577763,0.0
13,900.7659763351427,0.0
14,805.1781723180111,0.0
15,701.1904152662496,0.0
16,611.8017086349998,0.0
17,523.6344164162996,0.0
18,431.9024936898375,0.0
19,384.98592875149467,0.0
20,325.6526402596721,0.0
21,249.8437791534791,0.0
22,196.26333512208973,0.0
23,149.95709522267052,0.0
24,111.73011848976334,0.0
25,83.20451405897818,0.0
26,79.81816343847169,0.0
27,45.20422100786415,0.0
28,45.20422100786415,0.0
29,27.118218044425348,0.0
30,27.118218044425348,0.0
31,24.30797181746337,0.0
32,24.30797181746337,0.0
33,17.90659563277642,0.0
34,17.90659563277642,0.0
35,15.768645635944015,0.0
36,15.768645635944015,0.0
37,15.768645635944015,0.0
38,15.768645635944015,0.0
39,12.576049715305942,0.0
40,12.576049715305942,0.0
41,11.7789227979945,0.0
42,11.7789227979945,0.0
43,11.074636279023899,0.0
44,11.074636279023899,0.0
45,10.548640407461038,0.0
46,10.548640407461038,0.0
47,9.145593500450373,0.0
48,8.0078773773819,0.0
49,7.788157617483858,0.0
50,7.788157617483858,0.0
51,7.454182478296779,0.0
52,7.454182478296779,0.0
53,5.3948287390689345,0.0
54,5.3948287390689345,0.0
55,5.3948287390689345,0.0
56,5.3948287390689345,0.0
57,4.626460968545952,0.0
58,4.626460968545952,0.0
59,4.534519340998054,0.0
60,4.534519340998054,0.0
61,3.879604651489396,0.0
62,3.879604651489396,0.0
63,3.24524768065058,0.0
64,3.24524768065058,0.0
65,3.0686834227274025,0.0
66,3.0686834227274025,0.0
67,2.3164511143298254,0.0
68,2.3164511143298254,0.0
69,2.3164511143298254,0.0
70,2.3164511143298254,0.0
71,2.3164511143298254,0.0
72,2.3164511143298254,0.0
73,2.3164511143298254,0.0
74,2.3164511143298254,0.0
75,1.9658658382071041,0.0
76,1.9658658382071041,0.0
77,1.6276664754467693,0.0
78,1.6276664754467693,0.0
79,1.3100740869069771,0.0
80,1.3100740869069771,0.0
81,0.8907142330484513,0.0
82,0.8907142330484513,0.0
83,0.8247839004356129,0.0
84,0.7160238054565621,0.0
85,0.611200661412276,0.0
86,0.611200661412276,0.0
87,0.4603677110604343,0.0
88,0.4603677110604343,0.0
89,0.44318115557716875,0.0
90,0.3264202752263986,0.0
91,0.2322597208458447,0.0
92,0.2322597208458447,0.0
93,0.18619199315797913,0.0
94,0.18619199315797913,0.0
95,0.13244392613437164,0.0
96,0.12852651448925348,0.0
97,0.06535386671437722,0.0
98,0.06535386671437722,0.0
99,0.04620129604297355,0.0
100,0.04620129604297355,0.0
101,0.03684207328806374,0.0
102,0.03684207328806374,0.0
103,0.028285337492214065,0.0
104,0.028285337492214065,0.0
105,0.025773804539201008,0.0
106,0.025773804539201008,0.0
107,0.025773804539201008,0.0
108,0.025773804539201008,0.0
109,0.022125126869819677,0.0
110,0.022125126869819677,0.0
111,0.019058575579504262,0.0
112,0.019058575579504262,0.0
113,0.01541362787098827,0.0
114,0.01541362787098827,0.0
115,0.011240853680820919,0.0
116,0.011240853680820919,0.0
117,0.008549721857873132,0.0
118,0.008549721857873132,0.0
119,0.007531416746963729,0.0
120,0.007105011642037142,0.0
121,0.0068766626262514825,0.0
122,0.0068766626262514825,0.0
123,0.00560857529112801,0.0
124,0.00560857529112801,0.0
125,0.004770579390391429,0.0
126,0.004770579390391429,0.0
127,0.003128907132915845,0.0
128,0.003128907132915845,0.0
129,0.0031122798536988884,0.0
130,0.0031122798536988884,0.0
131,0.001819300276749721,0.0
132,0.001819300276749721,0.0
133,0.001819300276749721,0.0
134,0.001819300276749721,0.0
135,0.001819300276749721,0.0
136,0.001819300276749721,0.0
137,0.001819300276749721,0.0
138,0.001819300276749721,0.0
139,0.001819300276749721,0.0
140,0.001819300276749721,0.0
141,0.0017062056936530843,0.0
142,0.0017062056936530843,0.0
143,0.00147921414157752,0.0
144,0.00147921414157752,0.0
145,0.0012696025997431543,0.0
146,0.0012696025997431543,0.0
147,0.0010832339274418885,0.0
148,0.0010832339274418885,0.0
149,0.0010615487860923733,0.0
150,0.0010615487860923733,0.0
151,0.0005612075837639526,0.0
152,0.0005612075837639526,0.0
153,0.00040298470311056104,0.0
154,0.00040298470311056104,0.0
155,0.00040298470311056104,0.0
156,0.0003715351973493613,0.0
157,0.00031162114378550503,0.0
158,0.00031162114378550503,0.0
159,0.0002701135467714913,0.0
160,0.000243558857737016,0.0
161,0.0002012213110490702,0.0
162,0.0002012213110490702,0.0
163,0.00019786104671959932,0.0
164,0.00019786104671959932,0.0
165,0.00019039678412050286,0.0
166,0.00019039678412050286,0.0
167,0.0001493027354434603,0.0
168,0.0001493027354434603,0.0
169,0.00012625902568986886,0.0
170,0.00012625902568986886,0.0
171,9.032997559576353e-05,0.0
172,9.032997559576353e-05,0.0
173,9.032997559576353e-05,0.0
174,9.032997559576353e-05,0.0
175,7.266084279023323e-05,0.0
176,7.266084279023323e-05,0.0
177,4.2504035646630496e-05,0.0
178,4.016710182356722e-05,0.0
179,4.016710182356722e-05,0.0
180,4.016710182356722e-05,0.0
181,4.016710182356722e-05,0.0
182,4.016710182356722e-05,0.0
183,3.9809710744566796e-05,0.0
184,3.9809710744566796e-05,0.0
185,3.0616360024551966e-05,0.0
186,3.0616360024551966e-05,0.0
187,2.587197540573458e-05,0.0
188,2.587197540573458e-05,0.0
189,1.889702285435883e-05,0.0
190,1.889702285435883e-05,0.0
191,1.7440590174188774e-05,0.0
192,1.7440590174188774e-05,0.0
193,1.555629430615509e-05,0.0
194,1.555629430615509e-05,0.0
195,1.286817287657392e-05,0.0
196,1.286817287657392e-05,0.0
197,1.286817287657392e-05,0.0
198,1.2256003032463555e-05,0.0
199,8.109829399841524e-06,0.0
200,8.109829399841524e-06,0.0
201,6.380306159523078e-06,0.0
202,6.380306159523078e-06,0.0
203,5.369513682898706e-06,0.0
204,5.369513682898706e-06,0.0
205,5.369513682898706e-06,0.0
206,5.369513682898706e-06,0.0
207,3.990535948930024e-06,0.0
208,3.460945107015064e-06,0.0
209,3.460945107015064e-06,0.0
210,3.460945107015064e-06,0.0
211,2.9820032653053553e-06,0.0
212,2.9820032653053553e-06,0.0
213,2.129104984401319e-06,0.0
214,2.129104984401319e-06,0.0
215,2.129104984401319e-06,0.0
216,2.129104984401319e-06,0.0
217,2.129104984401319e-06,0.0
218,2.129104984401319e-06,0.0
219,1.6449498533446857e-06,0.0
220,1.6449498533446857e-06,0.0
221,1.6449498533446857e-06,0.0
222,1.6449498533446857e-06,0.0
223,1.3118107006545554e-06,0.0
224,1.3118107006545554e-06,0.0
225,8.816762604832394e-07,0.0
226,8.816762604832394e-07,0.0
227,8.816762604832394e-07,0.0
228,8.816762604832394e-07,0.0
229,8.816762604832394e-07,0.0
230,8.116461661665893e-07,0.0
231,8.116461661665893e-07,0.0
232,7.986425752439617e-07,0.0
233,7.986425752439617e-07,0.0
234,4.5177568515415174e-07,0.0
235,4.5177568515415174e-07,0.0
236,4.419077523319448e-07,0.0
237,4.419077523319448e-07,0.0
238,4.1532812853386786e-07,0.0
239,4.1532812853386786e-07,0.0
240,3.6487781318528674e-07,0.0
241,3.6487781318528674e-07,0.0
242,2.4164802360191074e-07,0.0
243,2.275548359105717e-07,0.0
244,2.275548359105717e-07,0.0
245,2.275548359105717e-07,0.0
246,1.9705218820489108e-07,0.0
247,1.9705218820489108e-07,0.0
248,1.9705218820489108e-07,0.0
249,1.9705218820489108e-07,0.0
250,1.9705218820489108e-07,0.0
251,1.9705218820489108e-07,0.0
252,1.9705218820489108e-07,0.0
253,1.4140291648931283e-07,0.0
254,1.1231312724888641e-07,0.0
255,9.953080582172693e-08,0.0
256,9.858678878727409e-08,0.0
257,6.733432475129736e-08,0.0
258,6.154955886170258e-08,0.0
259,6.154955886170258e-08,0.0
260,6.154955886170258e-08,0.0
261,6.154955886170258e-08,0.0
262,6.154955886170258e-08,0.0
263,5.6355423996835134e-08,0.0
264,4.245071700963087e-08,0.0
265,4.245071700963087e-08,0.0
266,3.8538652424523735e-08,0.0
267,3.8538652424523735e-08,0.0
268,3.8538652424523735e-08,0.0
269,3.8538652424523735e-08,0.0
270,2.9389601986621822e-08,0.0
271,2.9389601986621822e-08,0.0
272,2.9389601986621822e-08,0.0
273,2.8195126612722745e-08,0.0
274,2.685154470143371e-08,0.0
275,1.6052252828233274e-08,0.0
276,1.6052252828233274e-08,0.0
277,1.4674740079674315e-08,0.0
278,1.4674740079674315e-08,0.0
279,1.1425281507392479e-08,0.0
280,1.0484550461560179e-08,0.0
281,9.702071218437205e-09,0.0
282,9.702071218437205e-09,0.0
283,9.702071218437205e-09,0.0
284,7.683568273468239e-09,0.0
285,7.683568273468239e-09,0.0
