Iteración,Fitness
268,2.8715149374388024e-08
269,2.0552005153121143e-08
270,2.0552005153121143e-08
271,2.0552005153121143e-08
272,2.0552005153121143e-08
273,2.0552005153121143e-08
274,1.3250534616640437e-08
275,1.3250534616640437e-08
276,1.2076434594223606e-08
277,1.2076434594223606e-08
278,1.1187206364240412e-08
279,1.1187206364240412e-08
280,1.1031659663391112e-08
281,1.095914036331859e-08
282,9.156273594440387e-09
283,9.156273594440387e-09
284,9.156273594440387e-09
285,7.651680294585165e-09
286,7.651680294585165e-09
287,6.354268002658092e-09
288,6.354268002658092e-09
289,5.7088188094018955e-09
290,5.7088188094018955e-09
291,4.0891026804561175e-09
292,4.0891026804561175e-09
293,3.6413367203301253e-09
294,3.239504172347613e-09
295,2.8139892990220114e-09
296,2.8139892990220114e-09
297,2.8139892990220114e-09
298,2.8139892990220114e-09
299,2.8139892990220114e-09
300,2.3997987098701663e-09
301,1.181296503573024e-09
302,1.181296503573024e-09
303,1.181296503573024e-09
304,1.181296503573024e-09
305,1.181296503573024e-09
306,1.181296503573024e-09
307,1.0238492465556858e-09
308,1.0238492465556858e-09
309,9.430417524756521e-10
310,9.430417524756521e-10
311,4.5227015822601214e-10
312,4.5227015822601214e-10
313,4.5227015822601214e-10
314,4.5227015822601214e-10
315,4.5227015822601214e-10
316,4.5227015822601214e-10
317,4.5227015822601214e-10
318,4.5227015822601214e-10
319,4.296813427590841e-10
320,3.307884348953794e-10
321,3.307884348953794e-10
322,2.4954184628517335e-10
323,2.4954184628517335e-10
324,2.0034339671348756e-10
325,2.0034339671348756e-10
326,1.5392875556127262e-10
327,1.5392875556127262e-10
328,1.2861993595122026e-10
329,1.2861993595122026e-10
330,1.2861993595122026e-10
331,1.2861993595122026e-10
332,1.2861993595122026e-10
333,1.1965417303125504e-10
334,1.0149119154828219e-10
335,1.0149119154828219e-10
336,1.0149119154828219e-10
337,9.104859206566083e-11
338,8.664288927418985e-11
339,7.395899763960214e-11
340,7.395899763960214e-11
341,5.1544186206008185e-11
342,5.1544186206008185e-11
343,5.1544186206008185e-11
344,5.1544186206008185e-11
345,5.1544186206008185e-11
346,5.1544186206008185e-11
347,4.561334287601804e-11
348,3.944580118483244e-11
349,2.0725747934125614e-11
350,2.0725747934125614e-11
351,2.0725747934125614e-11
352,2.0725747934125614e-11
353,2.0725747934125614e-11
354,2.0725747934125614e-11
355,1.636464233376769e-11
356,1.636464233376769e-11
357,1.636464233376769e-11
358,1.4882823649442132e-11
359,7.381296321308248e-12
360,7.381296321308248e-12
361,7.381296321308248e-12
362,7.381296321308248e-12
363,7.381296321308248e-12
364,7.381296321308248e-12
365,7.381296321308248e-12
366,7.381296321308248e-12
367,6.191368045286177e-12
368,6.191368045286177e-12
369,5.732753801219343e-12
370,3.6063991561497518e-12
371,3.4593195656458353e-12
372,3.4593195656458353e-12
373,2.8625208148368534e-12
374,2.8625208148368534e-12
375,2.8625208148368534e-12
376,2.3965500277482603e-12
377,2.2983779267256205e-12
378,2.2983779267256205e-12
379,1.825028352496112e-12
380,1.825028352496112e-12
381,1.7327197711875403e-12
382,1.5384323767126422e-12
383,1.480450018179697e-12
384,1.480450018179697e-12
385,9.346479680522254e-13
386,8.059602131358876e-13
387,8.059602131358876e-13
388,8.059602131358876e-13
389,8.059602131358876e-13
390,8.059602131358876e-13
391,8.059602131358876e-13
392,8.059602131358876e-13
393,6.79532616141945e-13
394,6.794585074166869e-13
395,6.794585074166869e-13
396,5.252958872434375e-13
397,4.2032998875482777e-13
398,2.800710401670911e-13
399,2.800710401670911e-13
400,2.800710401670911e-13
401,2.800710401670911e-13
402,2.800710401670911e-13
403,2.800710401670911e-13
404,2.0398918456118501e-13
405,1.8907902231241568e-13
406,1.8907902231241568e-13
407,1.8907902231241568e-13
408,1.5250706466977855e-13
409,9.872587311612616e-14
410,9.349852783376514e-14
411,8.664435274734257e-14
